Text name: res/res_cn_cls_cifar10_symmetric_rate50_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup04_sgd_max_epoch100_lsecoer1e-04.txt
[00/100] [Loss] train:-0.160(f:-0.168+r:0.001+k:0.001+l:0.006) val:-0.243 test:-0.243 [Accr] train:19.3% val:30.4% test:30.4% maxVal:30.4% maxTest:30.4%
[01/100] [Loss] train:-0.183(f:-0.191+r:0.001+k:0.001+l:0.006) val:-0.298 test:-0.297 [Accr] train:21.0% val:35.0% test:35.0% maxVal:35.0% maxTest:35.0%
[02/100] [Loss] train:-0.182(f:-0.190+r:0.001+k:0.001+l:0.006) val:-0.296 test:-0.296 [Accr] train:20.0% val:32.5% test:32.5% maxVal:35.0% maxTest:35.0%
[03/100] [Loss] train:-0.203(f:-0.211+r:0.001+k:0.001+l:0.006) val:-0.338 test:-0.339 [Accr] train:22.8% val:38.8% test:38.8% maxVal:38.8% maxTest:38.8%
[04/100] [Loss] train:-0.213(f:-0.222+r:0.001+k:0.001+l:0.006) val:-0.360 test:-0.361 [Accr] train:23.8% val:40.4% test:40.4% maxVal:40.4% maxTest:40.4%
[05/100] [Loss] train:-0.242(f:-0.251+r:0.001+k:0.001+l:0.006) val:-0.423 test:-0.423 [Accr] train:27.0% val:47.3% test:47.3% maxVal:47.3% maxTest:47.3%
[06/100] [Loss] train:-0.250(f:-0.258+r:0.001+k:0.001+l:0.006) val:-0.440 test:-0.442 [Accr] train:27.3% val:48.2% test:48.2% maxVal:48.2% maxTest:48.2%
[07/100] [Loss] train:-0.251(f:-0.259+r:0.001+k:0.001+l:0.006) val:-0.439 test:-0.438 [Accr] train:26.8% val:46.8% test:46.8% maxVal:48.2% maxTest:48.2%
[08/100] [Loss] train:-0.268(f:-0.276+r:0.001+k:0.002+l:0.006) val:-0.485 test:-0.485 [Accr] train:28.3% val:51.3% test:51.3% maxVal:51.3% maxTest:51.3%
[09/100] [Loss] train:-0.264(f:-0.273+r:0.001+k:0.001+l:0.006) val:-0.473 test:-0.474 [Accr] train:28.2% val:50.5% test:50.5% maxVal:51.3% maxTest:51.3%
[10/100] [Loss] train:-0.265(f:-0.273+r:0.001+k:0.001+l:0.006) val:-0.470 test:-0.470 [Accr] train:28.0% val:49.5% test:49.5% maxVal:51.3% maxTest:51.3%
[11/100] [Loss] train:-0.293(f:-0.302+r:0.001+k:0.001+l:0.006) val:-0.530 test:-0.529 [Accr] train:30.7% val:55.3% test:55.3% maxVal:55.3% maxTest:55.3%
[12/100] [Loss] train:-0.292(f:-0.300+r:0.001+k:0.001+l:0.006) val:-0.529 test:-0.530 [Accr] train:30.6% val:55.0% test:55.0% maxVal:55.3% maxTest:55.3%
[13/100] [Loss] train:-0.276(f:-0.285+r:0.001+k:0.001+l:0.006) val:-0.498 test:-0.498 [Accr] train:28.8% val:51.5% test:51.5% maxVal:55.3% maxTest:55.3%
[14/100] [Loss] train:-0.300(f:-0.309+r:0.001+k:0.001+l:0.006) val:-0.548 test:-0.548 [Accr] train:31.3% val:56.6% test:56.6% maxVal:56.6% maxTest:56.6%
[15/100] [Loss] train:-0.295(f:-0.304+r:0.001+k:0.001+l:0.006) val:-0.540 test:-0.540 [Accr] train:30.8% val:55.7% test:55.7% maxVal:56.6% maxTest:56.6%
[16/100] [Loss] train:-0.301(f:-0.309+r:0.001+k:0.001+l:0.006) val:-0.547 test:-0.547 [Accr] train:31.3% val:56.4% test:56.4% maxVal:56.6% maxTest:56.6%
[17/100] [Loss] train:-0.279(f:-0.288+r:0.001+k:0.001+l:0.006) val:-0.503 test:-0.503 [Accr] train:29.4% val:52.3% test:52.3% maxVal:56.6% maxTest:56.6%
[18/100] [Loss] train:-0.316(f:-0.325+r:0.001+k:0.001+l:0.006) val:-0.582 test:-0.583 [Accr] train:33.3% val:60.7% test:60.7% maxVal:60.7% maxTest:60.7%
[19/100] [Loss] train:-0.309(f:-0.317+r:0.001+k:0.001+l:0.006) val:-0.565 test:-0.565 [Accr] train:32.5% val:59.0% test:59.0% maxVal:60.7% maxTest:60.7%
[20/100] [Loss] train:-0.316(f:-0.325+r:0.001+k:0.001+l:0.006) val:-0.580 test:-0.580 [Accr] train:33.2% val:60.2% test:60.2% maxVal:60.7% maxTest:60.7%
[21/100] [Loss] train:-0.301(f:-0.310+r:0.001+k:0.001+l:0.006) val:-0.541 test:-0.542 [Accr] train:31.7% val:56.2% test:56.2% maxVal:60.7% maxTest:60.7%
[22/100] [Loss] train:-0.336(f:-0.345+r:0.001+k:0.001+l:0.006) val:-0.626 test:-0.627 [Accr] train:35.1% val:64.8% test:64.8% maxVal:64.8% maxTest:64.8%
[23/100] [Loss] train:-0.325(f:-0.334+r:0.001+k:0.001+l:0.006) val:-0.595 test:-0.595 [Accr] train:33.8% val:61.3% test:61.3% maxVal:64.8% maxTest:64.8%
[24/100] [Loss] train:-0.330(f:-0.339+r:0.002+k:0.001+l:0.006) val:-0.613 test:-0.612 [Accr] train:34.3% val:63.2% test:63.2% maxVal:64.8% maxTest:64.8%
[25/100] [Loss] train:-0.331(f:-0.340+r:0.001+k:0.001+l:0.006) val:-0.613 test:-0.613 [Accr] train:34.4% val:63.3% test:63.3% maxVal:64.8% maxTest:64.8%
[26/100] [Loss] train:-0.336(f:-0.344+r:0.002+k:0.001+l:0.006) val:-0.618 test:-0.617 [Accr] train:34.9% val:63.7% test:63.7% maxVal:64.8% maxTest:64.8%
[27/100] [Loss] train:-0.327(f:-0.336+r:0.002+k:0.001+l:0.006) val:-0.601 test:-0.601 [Accr] train:34.0% val:62.0% test:62.0% maxVal:64.8% maxTest:64.8%
[28/100] [Loss] train:-0.321(f:-0.330+r:0.001+k:0.002+l:0.006) val:-0.584 test:-0.584 [Accr] train:33.5% val:60.2% test:60.2% maxVal:64.8% maxTest:64.8%
[29/100] [Loss] train:-0.345(f:-0.354+r:0.002+k:0.001+l:0.006) val:-0.641 test:-0.641 [Accr] train:35.8% val:65.9% test:65.9% maxVal:65.9% maxTest:65.9%
[30/100] [Loss] train:-0.359(f:-0.368+r:0.002+k:0.001+l:0.006) val:-0.667 test:-0.667 [Accr] train:37.2% val:68.4% test:68.4% maxVal:68.4% maxTest:68.4%
[31/100] [Loss] train:-0.350(f:-0.359+r:0.002+k:0.002+l:0.006) val:-0.650 test:-0.650 [Accr] train:36.4% val:66.8% test:66.8% maxVal:68.4% maxTest:68.4%
[32/100] [Loss] train:-0.338(f:-0.347+r:0.001+k:0.001+l:0.006) val:-0.627 test:-0.627 [Accr] train:34.9% val:64.4% test:64.4% maxVal:68.4% maxTest:68.4%
[33/100] [Loss] train:-0.358(f:-0.367+r:0.002+k:0.001+l:0.006) val:-0.669 test:-0.668 [Accr] train:36.8% val:68.1% test:68.1% maxVal:68.4% maxTest:68.4%
[34/100] [Loss] train:-0.338(f:-0.347+r:0.002+k:0.001+l:0.006) val:-0.622 test:-0.622 [Accr] train:35.0% val:63.8% test:63.8% maxVal:68.4% maxTest:68.4%
[35/100] [Loss] train:-0.344(f:-0.353+r:0.001+k:0.002+l:0.006) val:-0.635 test:-0.634 [Accr] train:35.6% val:65.2% test:65.2% maxVal:68.4% maxTest:68.4%
[36/100] [Loss] train:-0.343(f:-0.352+r:0.002+k:0.002+l:0.006) val:-0.636 test:-0.637 [Accr] train:35.4% val:64.9% test:64.9% maxVal:68.4% maxTest:68.4%
[37/100] [Loss] train:-0.358(f:-0.367+r:0.001+k:0.001+l:0.006) val:-0.668 test:-0.667 [Accr] train:37.0% val:68.3% test:68.3% maxVal:68.4% maxTest:68.4%
[38/100] [Loss] train:-0.356(f:-0.365+r:0.002+k:0.002+l:0.006) val:-0.663 test:-0.663 [Accr] train:36.6% val:67.6% test:67.6% maxVal:68.4% maxTest:68.4%
[39/100] [Loss] train:-0.359(f:-0.368+r:0.001+k:0.002+l:0.006) val:-0.670 test:-0.670 [Accr] train:37.1% val:68.7% test:68.7% maxVal:68.7% maxTest:68.7%
[40/100] [Loss] train:-0.358(f:-0.367+r:0.002+k:0.002+l:0.006) val:-0.665 test:-0.664 [Accr] train:37.0% val:68.0% test:68.0% maxVal:68.7% maxTest:68.7%
[41/100] [Loss] train:-0.372(f:-0.381+r:0.002+k:0.002+l:0.006) val:-0.696 test:-0.696 [Accr] train:38.5% val:71.3% test:71.3% maxVal:71.3% maxTest:71.3%
[42/100] [Loss] train:-0.367(f:-0.376+r:0.002+k:0.001+l:0.006) val:-0.683 test:-0.683 [Accr] train:38.3% val:70.6% test:70.6% maxVal:71.3% maxTest:71.3%
[43/100] [Loss] train:-0.355(f:-0.364+r:0.001+k:0.002+l:0.006) val:-0.659 test:-0.660 [Accr] train:37.0% val:68.1% test:68.1% maxVal:71.3% maxTest:71.3%
[44/100] [Loss] train:-0.363(f:-0.372+r:0.001+k:0.002+l:0.006) val:-0.671 test:-0.672 [Accr] train:37.7% val:69.0% test:69.0% maxVal:71.3% maxTest:71.3%
[45/100] [Loss] train:-0.382(f:-0.391+r:0.002+k:0.002+l:0.006) val:-0.718 test:-0.718 [Accr] train:39.6% val:73.7% test:73.7% maxVal:73.7% maxTest:73.7%
[46/100] [Loss] train:-0.359(f:-0.368+r:0.002+k:0.002+l:0.006) val:-0.666 test:-0.666 [Accr] train:37.4% val:68.8% test:68.8% maxVal:73.7% maxTest:73.7%
[47/100] [Loss] train:-0.379(f:-0.388+r:0.001+k:0.002+l:0.006) val:-0.711 test:-0.710 [Accr] train:39.4% val:73.4% test:73.4% maxVal:73.7% maxTest:73.7%
[48/100] [Loss] train:-0.348(f:-0.357+r:0.002+k:0.002+l:0.006) val:-0.643 test:-0.642 [Accr] train:36.1% val:65.9% test:65.9% maxVal:73.7% maxTest:73.7%
[49/100] [Loss] train:-0.380(f:-0.389+r:0.002+k:0.002+l:0.006) val:-0.708 test:-0.708 [Accr] train:39.4% val:72.7% test:72.7% maxVal:73.7% maxTest:73.7%
[50/100] [Loss] train:-0.392(f:-0.401+r:0.002+k:0.002+l:0.006) val:-0.734 test:-0.734 [Accr] train:40.5% val:75.4% test:75.4% maxVal:75.4% maxTest:75.4%
[51/100] [Loss] train:-0.392(f:-0.401+r:0.002+k:0.002+l:0.006) val:-0.734 test:-0.735 [Accr] train:40.6% val:75.3% test:75.3% maxVal:75.4% maxTest:75.4%
[52/100] [Loss] train:-0.398(f:-0.407+r:0.002+k:0.002+l:0.006) val:-0.752 test:-0.752 [Accr] train:41.1% val:77.2% test:77.2% maxVal:77.2% maxTest:77.2%
[53/100] [Loss] train:-0.394(f:-0.403+r:0.002+k:0.002+l:0.006) val:-0.737 test:-0.738 [Accr] train:40.8% val:75.7% test:75.7% maxVal:77.2% maxTest:77.2%
[54/100] [Loss] train:-0.391(f:-0.400+r:0.002+k:0.002+l:0.006) val:-0.731 test:-0.731 [Accr] train:40.6% val:75.1% test:75.1% maxVal:77.2% maxTest:77.2%
[55/100] [Loss] train:-0.396(f:-0.405+r:0.002+k:0.002+l:0.006) val:-0.741 test:-0.741 [Accr] train:40.9% val:76.1% test:76.1% maxVal:77.2% maxTest:77.2%
[56/100] [Loss] train:-0.397(f:-0.406+r:0.002+k:0.002+l:0.006) val:-0.740 test:-0.741 [Accr] train:41.0% val:75.9% test:75.9% maxVal:77.2% maxTest:77.2%
[57/100] [Loss] train:-0.405(f:-0.415+r:0.002+k:0.002+l:0.006) val:-0.761 test:-0.760 [Accr] train:42.0% val:77.9% test:77.9% maxVal:77.9% maxTest:77.9%
[58/100] [Loss] train:-0.399(f:-0.408+r:0.002+k:0.002+l:0.006) val:-0.750 test:-0.749 [Accr] train:41.2% val:76.9% test:76.9% maxVal:77.9% maxTest:77.9%
[59/100] [Loss] train:-0.403(f:-0.412+r:0.002+k:0.002+l:0.006) val:-0.755 test:-0.755 [Accr] train:41.6% val:77.3% test:77.3% maxVal:77.9% maxTest:77.9%
[60/100] [Loss] train:-0.404(f:-0.413+r:0.002+k:0.002+l:0.006) val:-0.756 test:-0.756 [Accr] train:41.7% val:77.4% test:77.4% maxVal:77.9% maxTest:77.9%
[61/100] [Loss] train:-0.405(f:-0.414+r:0.002+k:0.002+l:0.006) val:-0.760 test:-0.761 [Accr] train:41.7% val:77.8% test:77.8% maxVal:77.9% maxTest:77.9%
